PDB_ID	RELEASE_DATE	SELECTED_SOURCE	REVISION_ORDINAL	REVISION_DATE	LEGACY_ORIGINAL_DATE	SOURCES_AGREE
1MV1	2002-12-18	_pdbx_audit_revision_history.revision_date	1	2002-12-18		
1MV2	2002-12-18	_pdbx_audit_revision_history.revision_date	1	2002-12-18		
1MV6	2002-12-18	_pdbx_audit_revision_history.revision_date	1	2002-12-18		
1MWG	1997-03-12	_pdbx_audit_revision_history.revision_date	1	1997-03-12		
1MWL	2003-02-18	_pdbx_audit_revision_history.revision_date	1	2003-02-18		
1MY9	2003-10-07	_pdbx_audit_revision_history.revision_date	1	2003-10-07		
1N53	2003-04-29	_pdbx_audit_revision_history.revision_date	1	2003-04-29		
1N66	2003-08-19	_pdbx_audit_revision_history.revision_date	1	2003-08-19		
1N8X	2003-04-08	_pdbx_audit_revision_history.revision_date	1	2003-04-08		
1NA2	2003-01-21	_pdbx_audit_revision_history.revision_date	1	2003-01-21		
1NBK	2003-12-03	_pdbx_audit_revision_history.revision_date	1	2003-12-03		
1NBR	2003-03-04	_pdbx_audit_revision_history.revision_date	1	2003-03-04		
1NBS	2003-02-18	_pdbx_audit_revision_history.revision_date	1	2003-02-18		
1NC0	2003-02-25	_pdbx_audit_revision_history.revision_date	1	2003-02-25		
1NEM	1999-08-31	_pdbx_audit_revision_history.revision_date	1	1999-08-31		
1NJN	2003-02-11	_pdbx_audit_revision_history.revision_date	1	2003-02-11		
1NJO	2003-02-11	_pdbx_audit_revision_history.revision_date	1	2003-02-11		
1NLC	2003-05-13	_pdbx_audit_revision_history.revision_date	1	2003-05-13		
1NTA	2003-05-13	_pdbx_audit_revision_history.revision_date	1	2003-05-13		
1NTB	2003-05-13	_pdbx_audit_revision_history.revision_date	1	2003-05-13		
1NUJ	2003-08-19	_pdbx_audit_revision_history.revision_date	1	2003-08-19		
1NUV	2003-08-19	_pdbx_audit_revision_history.revision_date	1	2003-08-19		
1NYI	2004-02-24	_pdbx_audit_revision_history.revision_date	1	2004-02-24		
1NZ1	2003-05-13	_pdbx_audit_revision_history.revision_date	1	2003-05-13		
1O15	2003-02-18	_pdbx_audit_revision_history.revision_date	1	2003-02-18		
1O3Z	2003-05-27	_pdbx_audit_revision_history.revision_date	1	2003-05-27		
1O9M	2003-03-27	_pdbx_audit_revision_history.revision_date	1	2003-03-27		
1OQ0	2003-05-13	_pdbx_audit_revision_history.revision_date	1	2003-05-13		
1OSU	1996-04-04	_pdbx_audit_revision_history.revision_date	1	1996-04-04		
1OSW	2003-05-20	_pdbx_audit_revision_history.revision_date	1	2003-05-20		
1OW9	2003-05-20	_pdbx_audit_revision_history.revision_date	1	2003-05-20		
1P5M	2003-11-04	_pdbx_audit_revision_history.revision_date	1	2003-11-04		
1P5N	2003-11-04	_pdbx_audit_revision_history.revision_date	1	2003-11-04		
1P5O	2003-11-04	_pdbx_audit_revision_history.revision_date	1	2003-11-04		
1P5P	2003-11-04	_pdbx_audit_revision_history.revision_date	1	2003-11-04		
1P79	2003-11-04	_pdbx_audit_revision_history.revision_date	1	2003-11-04		
1P9X	2003-08-05	_pdbx_audit_revision_history.revision_date	1	2003-08-05		
1PBL	1997-07-07	_pdbx_audit_revision_history.revision_date	1	1997-07-07		
1PBM	1997-07-07	_pdbx_audit_revision_history.revision_date	1	1997-07-07		
1PBR	1997-09-17	_pdbx_audit_revision_history.revision_date	1	1997-09-17		
1PJY	2003-08-05	_pdbx_audit_revision_history.revision_date	1	2003-08-05		
1Q29	2004-02-24	_pdbx_audit_revision_history.revision_date	1	2004-02-24		
1Q75	2003-12-23	_pdbx_audit_revision_history.revision_date	1	2003-12-23		
1Q8N	2004-03-23	_pdbx_audit_revision_history.revision_date	1	2004-03-23		
1Q93	2003-11-25	_pdbx_audit_revision_history.revision_date	1	2003-11-25		
1Q96	2003-11-25	_pdbx_audit_revision_history.revision_date	1	2003-11-25		
1Q9A	2003-11-25	_pdbx_audit_revision_history.revision_date	1	2003-11-25		
1QBP	1999-11-26	_pdbx_audit_revision_history.revision_date	1	1999-11-26		
1QC0	1999-11-11	_pdbx_audit_revision_history.revision_date	1	1999-11-11		
1QC8	1999-08-31	_pdbx_audit_revision_history.revision_date	1	1999-08-31		
1QCU	1999-11-11	_pdbx_audit_revision_history.revision_date	1	1999-11-11		
1QD3	2000-07-12	_pdbx_audit_revision_history.revision_date	1	2000-07-12		
1QES	1997-06-05	_pdbx_audit_revision_history.revision_date	1	1997-06-05		
1QET	1997-06-05	_pdbx_audit_revision_history.revision_date	1	1997-06-05		
1QWA	2003-11-25	_pdbx_audit_revision_history.revision_date	1	2003-11-25		
1QWB	2003-11-25	_pdbx_audit_revision_history.revision_date	1	2003-11-25		
1QZA	2003-11-04	_pdbx_audit_revision_history.revision_date	1	2003-11-04		
1QZB	2003-11-04	_pdbx_audit_revision_history.revision_date	1	2003-11-04		
1R2P	2004-02-03	_pdbx_audit_revision_history.revision_date	1	2004-02-03		
1R3O	2003-12-23	_pdbx_audit_revision_history.revision_date	1	2003-12-23		
1R4H	2004-10-19	_pdbx_audit_revision_history.revision_date	1	2004-10-19		
1R7W	2004-05-25	_pdbx_audit_revision_history.revision_date	1	2004-05-25		
1R7Z	2004-05-25	_pdbx_audit_revision_history.revision_date	1	2004-05-25		
1RAU	1994-01-31	_pdbx_audit_revision_history.revision_date	1	1994-01-31		
1RAW	1997-01-27	_pdbx_audit_revision_history.revision_date	1	1997-01-27		
1RFR	2004-03-23	_pdbx_audit_revision_history.revision_date	1	2004-03-23		
1RHT	1995-06-03	_pdbx_audit_revision_history.revision_date	1	1995-06-03		
