PDB_ID	CIF_PATH	FILE_SIZE_BYTES	SHA256	EXCLUDED
1HLX	/storage9920/home/tinghao.xia/pdb_data/1hlx.cif	1167230	a91f78ba7093fd9fb73e61352a39325b19609e10dbb583add3b29e030dc9befc	False
1HR2	/storage9920/home/tinghao.xia/pdb_data/1hr2.cif	899806	acd45269354f98d7abbe6bda676f13f4ef6d81b8357e7b8a270fd446828e892e	False
1HS1	/storage9920/home/tinghao.xia/pdb_data/1hs1.cif	66709	cfeb3c92b0209037ee70aa45c9e81668664eec1be7b6eefcf56610c045baebd8	False
1HS2	/storage9920/home/tinghao.xia/pdb_data/1hs2.cif	65391	d32d64584839e6a61cd48e79f9dd265ffb10e7ae2db8e066b37505c634ef1182	False
1HS3	/storage9920/home/tinghao.xia/pdb_data/1hs3.cif	64798	eb7c59f0bc908e5329436905c7a9ca0e2ccc16068913525658f1c28677da28af	False
1HS4	/storage9920/home/tinghao.xia/pdb_data/1hs4.cif	64787	75febb60a36b1cd395d4cceaf986cde3482260738baa53bd3f138c37b3ebeb5b	False
1HS8	/storage9920/home/tinghao.xia/pdb_data/1hs8.cif	64832	1c4bf19ae7ee5c56109bd98e0141a78e8b33c1c3e78603b13fd19f9b8dec329c	False
1HWQ	/storage9920/home/tinghao.xia/pdb_data/1hwq.cif	1730079	a62e29b0e7d38400ac6575ac629194bf7bc8090fb870fcf05f9c9dcc6a6e2d50	False
1I3X	/storage9920/home/tinghao.xia/pdb_data/1i3x.cif	815624	847c0de430eb7c5a8599af02f930e910830d4f79a6cc798e5e0b8f6376631110	False
1I3Y	/storage9920/home/tinghao.xia/pdb_data/1i3y.cif	1227780	01ffa7e2841d8df87b673d75bb987146aa149f4d1a2511c9194a92ff3709f776	False
1I46	/storage9920/home/tinghao.xia/pdb_data/1i46.cif	66257	6613649fc5858812ba4a4354b50fb20258f4180da53c9efb239804a26f67a226	False
1I4B	/storage9920/home/tinghao.xia/pdb_data/1i4b.cif	65777	83f9542f2f39b0ccac4747d3106dec8936dd0138a645dc5197be10db7ba67c08	False
1I4C	/storage9920/home/tinghao.xia/pdb_data/1i4c.cif	70225	fc15eaba3087f24940f420c4ff949de59353a20d9277d2eb67ee0873fba1f109	False
1I7J	/storage9920/home/tinghao.xia/pdb_data/1i7j.cif	136225	457f8bfe05b852353f37c0d9fd5855487f2b5f328ec632405ce1809f5cafe8ae	False
1I9K	/storage9920/home/tinghao.xia/pdb_data/1i9k.cif	90504	7960d905118e15753f2e1b90a78edf6aad2f6a16025746d528013105dc4b471d	False
1I9V	/storage9920/home/tinghao.xia/pdb_data/1i9v.cif	236420	ac8fd30a0d640d6c08c7fbd55daa09304eecf1a9927f2cff446f7ac1d14a1c3a	False
1I9X	/storage9920/home/tinghao.xia/pdb_data/1i9x.cif	92628	6c610ab69c3fbf5c001e964c85d9f41143ac16bd5c514c82024568710aab2686	False
1IDV	/storage9920/home/tinghao.xia/pdb_data/1idv.cif	306168	9cde9a2fb404025f82e60433d958e775903f8c24476564fb51629f95a1c22de7	False
1IE1	/storage9920/home/tinghao.xia/pdb_data/1ie1.cif	1188451	b946498f8811f615ea6ff0e3435f86829553846a56eb8342a844685ac24a8245	False
1IE2	/storage9920/home/tinghao.xia/pdb_data/1ie2.cif	1382297	c7ba892935e96412a069c9d9dc9206f82d99f4cd0cc181f46f6042df256e38ae	False
1IK1	/storage9920/home/tinghao.xia/pdb_data/1ik1.cif	67977	6f07849639c80ab8e4cb2559652cdd87045744fd95f611fd2b76541a3d369d2d	False
1IK5	/storage9920/home/tinghao.xia/pdb_data/1ik5.cif	114226	6fa1fccae0ad475958ac178c72727ba4e551310fb935a206c8fb1528a9bd8b57	False
1IKD	/storage9920/home/tinghao.xia/pdb_data/1ikd.cif	1254227	263959ff180a2d176b8a348d848a2102a4f85c953ef89e85a2aa349e58500854	False
1J4Y	/storage9920/home/tinghao.xia/pdb_data/1j4y.cif	79687	f268f7318711fcb64415b10cf0fc77a709de068b901fd78b0e01d170a9c9effc	False
1J6S	/storage9920/home/tinghao.xia/pdb_data/1j6s.cif	171342	d17fa3136aa62ef8d0d51d17560e9387ea004dcc11677085d2a7d664e26f9599	False
1J7T	/storage9920/home/tinghao.xia/pdb_data/1j7t.cif	148390	d7f1d870cc3d55196a866b8dd38ddeb7faf221d938d332dde312395b71b148bf	False
1J8G	/storage9920/home/tinghao.xia/pdb_data/1j8g.cif	236463	351ef4ceddc13dbb3479d1521764b5ff3bf4484097269d51cd3e6f7b5c380c2f	False
1J9H	/storage9920/home/tinghao.xia/pdb_data/1j9h.cif	157340	c2cd62e10d930911b591e839c454a762c861a0d28c4b43fd3ffcdde26f36a111	False
1JO7	/storage9920/home/tinghao.xia/pdb_data/1jo7.cif	2790690	c52d760f61d52c6cf4077eec604b0e0641653374a95d90eae327e99f59353989	False
1JOX	/storage9920/home/tinghao.xia/pdb_data/1jox.cif	1461254	1885b4a5ff077125a1b9a081f257f98a834f113b70a5ab4b31a1e4ece75789c7	False
1JP0	/storage9920/home/tinghao.xia/pdb_data/1jp0.cif	1691463	3a0d4e0203070a76c61293c2beadba0c6f5844f0063bfc4aec971c968f356bce	False
1JTJ	/storage9920/home/tinghao.xia/pdb_data/1jtj.cif	1324895	6a8d5dc48f508a86b8dbe943ad9f9ccc8f257632525ebe4e80eaba8f09499445	False
1JTW	/storage9920/home/tinghao.xia/pdb_data/1jtw.cif	719428	43963eabf5fe730e939aa05441dc02c8f202e9b0e69b5e705cd54780276de6ab	False
1JU1	/storage9920/home/tinghao.xia/pdb_data/1ju1.cif	2135804	e2bf6342cfcdc4a9756eb7fc5cd3bec2ddfe2d356dac92a4dddcbf6a10161bdb	False
1JU7	/storage9920/home/tinghao.xia/pdb_data/1ju7.cif	486661	35b678e9a4c9021308d2c3b7525d2d8a75e3bf615ef0505737986f8935ed5e93	False
1JUR	/storage9920/home/tinghao.xia/pdb_data/1jur.cif	584784	6531637e5c0c7d0790a3f2bb7a73c9b1a061fd5d420a2f494fa015d2014ed624	False
1JWC	/storage9920/home/tinghao.xia/pdb_data/1jwc.cif	78771	747ed135d1eb1d5cc05a15ee8aa88c407a71ae293a3d2b549e77f32cd33a06c5	False
1JZC	/storage9920/home/tinghao.xia/pdb_data/1jzc.cif	66576	73e2ead2826dd4f955a4a1343050535dce8278425bdd26e42d6468e443dd3168	False
1JZV	/storage9920/home/tinghao.xia/pdb_data/1jzv.cif	129585	8354f2e759267bcfe9873e618c5463c953463ae6e192ae52b4e7a490e9aa38d6	False
1K2G	/storage9920/home/tinghao.xia/pdb_data/1k2g.cif	96650	7fdf49033cfc38c7697c5fbd667f31004bf1d2593965bd823baf7f309ceb46d2	False
1K4A	/storage9920/home/tinghao.xia/pdb_data/1k4a.cif	834207	3a1c6954c145419c3f5efcd218c5b3da8b4031ada3b8406277b35839feaf9148	False
